City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,64.27,68,31,16.11,scattered clouds
1,Westport,US,41.1415,-73.3579,45.81,96,100,1.01,light rain
2,Bereda,ES,43.2686,-7.5406,52.0,89,49,3.29,scattered clouds
3,Nikolskoye,RU,59.7035,30.7861,6.69,100,98,1.14,overcast clouds
4,Cherskiy,RU,68.75,161.3,-28.52,99,6,1.3,clear sky
5,Tasiilaq,GL,65.6145,-37.6368,14.16,57,100,7.67,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,64.9,78,2,8.75,clear sky
7,Yellowknife,CA,62.456,-114.3525,-22.59,74,0,8.05,clear sky
8,Upernavik,GL,72.7868,-56.1549,-4.9,64,100,4.63,overcast clouds
9,Taltal,CL,-25.4,-70.4833,71.11,62,22,8.72,few clouds
10,Atuona,PF,-9.8,-139.0333,78.31,71,0,15.37,clear sky
11,Lata,PT,40.1629,-8.3327,55.81,90,100,1.86,overcast clouds
12,Dikson,RU,73.5069,80.5464,-16.42,99,100,5.08,overcast clouds
13,Gizo,SB,-8.103,156.8419,78.49,90,100,13.35,moderate rain
14,Mahebourg,MU,-20.4081,57.7,80.89,89,75,25.32,broken clouds
15,Baruun-Urt,MN,46.6806,113.2792,-12.6,89,4,4.99,clear sky
16,Kalabo,ZM,-14.97,22.6814,67.64,94,100,3.47,moderate rain
17,Thompson,CA,55.7435,-97.8558,-16.44,63,40,8.05,scattered clouds
18,Port Alfred,ZA,-33.5906,26.891,72.1,80,45,17.74,scattered clouds
19,Bluff,NZ,-46.6,168.3333,51.8,80,100,3.49,overcast clouds
20,Lagoa,PT,39.05,-27.9833,57.54,74,100,13.13,overcast clouds
21,Albany,US,42.6001,-73.9662,43.61,87,100,1.57,light rain
22,Amapa,BR,1.0,-52.0,78.73,94,100,4.34,overcast clouds
23,Mar Del Plata,AR,-38.0023,-57.5575,73.42,87,0,4.0,clear sky
24,Vaini,TO,-21.2,-175.2,71.76,100,20,2.3,few clouds
25,Busselton,AU,-33.65,115.3333,79.05,40,53,8.86,broken clouds
26,Te Anau,NZ,-45.4167,167.7167,47.23,97,100,4.56,heavy intensity rain
27,Mataura,NZ,-46.1927,168.8643,51.48,98,100,0.51,light rain
28,Kapaa,US,22.0752,-159.319,71.92,87,20,11.5,few clouds
29,Norman Wells,CA,65.282,-126.8329,-47.16,59,20,0.0,few clouds
30,Mackay,AU,-21.15,149.2,76.98,94,75,6.91,light rain
31,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,75,10.36,broken clouds
32,Castro,BR,-24.7911,-50.0119,74.34,81,33,2.46,scattered clouds
33,Ushuaia,AR,-54.8,-68.3,47.82,61,75,14.97,broken clouds
34,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,25.32,moderate rain
35,Fairbanks,US,64.8378,-147.7164,-14.8,63,0,5.75,clear sky
36,Codrington,AU,-38.2667,141.9667,59.16,70,100,12.35,overcast clouds
37,Kendari,ID,-3.945,122.4989,74.25,95,100,2.86,overcast clouds
38,Nishihara,JP,26.1842,127.7558,61.88,94,100,5.75,mist
39,Margate,GB,51.3813,1.3862,48.96,80,93,13.18,overcast clouds
40,Waingapu,ID,-9.6567,120.2641,78.94,84,89,10.6,overcast clouds
41,Luderitz,NA,-26.6481,15.1594,68.85,71,2,16.53,clear sky
42,Dingle,PH,10.9995,122.6711,75.2,92,93,7.65,overcast clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,10,7.0,clear sky
44,Qaqortoq,GL,60.7167,-46.0333,23.5,94,100,26.33,snow
45,Fortuna,US,40.5982,-124.1573,50.94,82,75,4.0,broken clouds
46,Mehamn,NO,71.0357,27.8492,22.91,68,100,8.72,overcast clouds
47,Kybartai,LT,54.6386,22.7632,30.81,95,100,5.12,overcast clouds
48,Fukuroi,JP,34.75,137.9167,39.97,63,100,8.01,overcast clouds
49,Lavrentiya,RU,65.5833,-171.0,-2.13,62,1,23.55,clear sky
50,Qaanaaq,GL,77.484,-69.3632,-14.96,62,100,7.81,overcast clouds
51,Novikovo,RU,51.1537,37.8879,27.72,98,100,4.27,snow
52,Avarua,CK,-21.2078,-159.775,80.65,83,75,16.11,broken clouds
53,Constitucion,CL,-35.3333,-72.4167,67.86,66,10,7.78,clear sky
54,Cape Town,ZA,-33.9258,18.4232,67.08,64,40,1.99,scattered clouds
55,Novita,CO,4.9551,-76.6053,81.37,86,60,3.24,broken clouds
56,Aykhal,RU,66.0,111.5,-21.05,100,100,2.19,overcast clouds
57,Pozo Colorado,PY,-23.4923,-58.7972,95.41,38,100,8.28,overcast clouds
58,Rikitea,PF,-23.1203,-134.9692,77.47,77,100,14.94,light rain
59,Salalah,OM,17.0151,54.0924,73.98,42,0,4.03,clear sky
60,Bengkulu,ID,-3.8004,102.2655,75.97,90,100,4.88,overcast clouds
61,Nome,US,64.5011,-165.4064,5.07,57,0,33.38,clear sky
62,Broken Hill,AU,-31.95,141.4333,60.51,51,0,12.66,clear sky
63,Biak,ID,-0.9131,122.8766,76.26,75,100,3.18,overcast clouds
64,Coquimbo,CL,-29.9533,-71.3436,68.76,69,14,8.46,few clouds
65,Pangai,TO,-19.8,-174.35,81.5,79,91,20.76,light rain
66,Punta Arenas,CL,-53.15,-70.9167,51.82,53,0,9.22,clear sky
67,New Norfolk,AU,-42.7826,147.0587,47.71,73,14,2.62,few clouds
68,Souillac,MU,-20.5167,57.5167,80.98,89,75,25.32,light rain
69,Kavaratti,IN,10.5669,72.642,79.05,70,5,6.24,clear sky
70,Magaria,NE,12.9983,8.9099,67.68,13,0,10.67,clear sky
71,Port-Gentil,GA,-0.7193,8.7815,80.56,83,20,3.44,few clouds
72,Si Sa Ket,TH,14.8333,104.3333,69.28,72,38,8.84,scattered clouds
73,Manokwari,ID,-0.8667,134.0833,76.71,83,99,3.6,overcast clouds
74,Reynosa,MX,26.0833,-98.2833,46.24,82,100,13.8,overcast clouds
75,Galesong,ID,-5.3166,119.3661,73.42,79,100,4.83,overcast clouds
76,Itaqui,BR,-29.1253,-56.5531,74.25,88,100,20.04,light rain
77,Lac Du Bonnet,CA,50.2536,-96.0612,-12.41,74,59,9.62,broken clouds
78,Pasighat,IN,28.0667,95.3333,54.25,69,74,4.41,broken clouds
79,Carnarvon,AU,-24.8667,113.6333,80.67,78,78,8.05,broken clouds
80,Saint-Francois,FR,46.4154,3.9054,42.67,82,0,11.5,clear sky
81,Kruisfontein,ZA,-34.0033,24.7314,65.88,75,75,15.59,broken clouds
82,Barrow,US,71.2906,-156.7887,-25.58,83,0,4.61,mist
83,Moose Factory,CA,51.2585,-80.6094,-7.6,49,0,12.66,clear sky
84,Lebu,CL,-37.6167,-73.65,64.33,80,100,13.89,overcast clouds
85,Columbia,US,34.0007,-81.0348,73.74,62,100,17.27,overcast clouds
86,San Cristobal,VE,7.7669,-72.225,84.38,33,90,6.35,overcast clouds
87,Hervey Bay,AU,-25.2986,152.8535,72.03,96,100,8.99,overcast clouds
88,Hilo,US,19.7297,-155.09,73.4,81,57,1.01,broken clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,9.22,light snow
90,Batamshinskiy,KZ,50.5594,58.2747,8.58,78,100,12.1,overcast clouds
91,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,80,48,12.91,scattered clouds
92,Kaitangata,NZ,-46.2817,169.8464,48.94,94,100,2.35,light rain
93,Kuminskiy,RU,58.6667,66.5667,24.28,95,100,11.14,snow
94,Athabasca,CA,54.7169,-113.2854,-9.71,84,100,4.27,overcast clouds
95,Butaritari,KI,3.0707,172.7902,80.47,78,32,12.71,moderate rain
96,Bull Savanna,JM,17.8868,-77.5902,81.59,60,3,13.71,clear sky
97,Chokurdakh,RU,70.6333,147.9167,-27.85,99,57,3.38,broken clouds
98,Outlook,CA,51.5001,-107.0513,-0.71,92,98,9.33,overcast clouds
99,Sioux Lookout,CA,50.1001,-91.917,-10.82,64,0,5.75,clear sky
100,Hobart,AU,-42.8794,147.3294,48.06,86,13,1.01,few clouds
101,Dongsheng,CN,39.8161,109.9776,5.76,64,0,11.1,clear sky
102,Karaidel,RU,55.8337,56.9069,30.09,96,100,12.68,snow
103,Mangan,IN,27.5167,88.5333,50.23,78,89,3.98,overcast clouds
104,Port Hardy,CA,50.6996,-127.4199,42.76,93,100,13.8,light intensity drizzle
105,Thai Nguyen,VN,21.5928,105.8442,56.98,70,98,3.4,overcast clouds
106,Baykit,RU,61.67,96.37,15.13,96,100,4.09,light snow
107,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,63,75,9.22,light rain
108,Ahipara,NZ,-35.1667,173.1667,70.23,87,90,12.88,overcast clouds
109,Lorengau,PG,-2.0226,147.2712,79.32,79,100,6.87,light rain
110,Agogo,GH,6.8,-1.0819,80.08,21,3,2.53,clear sky
111,Novoagansk,RU,61.9449,76.6625,17.56,94,100,10.22,overcast clouds
112,Miri,MY,4.4148,114.0089,77.14,100,40,2.3,scattered clouds
113,Coolum Beach,AU,-26.5333,153.1,71.33,93,99,1.99,overcast clouds
114,Nogliki,RU,51.8333,143.1667,5.72,92,100,20.58,light snow
115,Richards Bay,ZA,-28.783,32.0377,79.54,87,78,9.57,broken clouds
116,Neuquen,AR,-38.9516,-68.0591,91.29,25,0,11.5,clear sky
117,Hithadhoo,MV,-0.6,73.0833,81.57,71,55,6.78,broken clouds
118,Salcininkai,LT,54.3,25.3833,23.09,97,93,3.78,overcast clouds
119,Victoria,HK,22.2855,114.1577,56.32,81,100,1.01,overcast clouds
120,Tongliao,CN,43.6125,122.2653,-4.34,86,2,8.95,clear sky
121,Sungaipenuh,ID,-2.0833,101.3833,64.71,96,100,2.64,moderate rain
122,Jamestown,US,42.097,-79.2353,31.08,55,100,12.66,snow
123,Samoded,RU,63.6083,40.5111,1.81,99,92,3.4,overcast clouds
124,Inhambane,MZ,-23.865,35.3833,82.38,83,20,8.99,few clouds
125,Esperance,AU,-33.8667,121.9,62.44,77,0,16.28,clear sky
126,Port Moresby,PG,-9.4431,147.1797,72.82,94,40,5.75,scattered clouds
127,Guerrero Negro,MX,27.9769,-114.0611,59.59,26,0,4.29,clear sky
128,Kalmunai,LK,7.4167,81.8167,74.93,78,0,2.15,clear sky
129,Berdigestyakh,RU,62.0989,126.6992,-21.14,99,99,4.27,overcast clouds
130,Vardo,NO,70.3705,31.1107,21.18,93,75,5.75,light snow
131,Cairns,AU,-16.9167,145.7667,78.75,91,100,2.3,light rain
132,Narsaq,GL,60.9167,-46.05,25.83,97,100,8.81,snow
133,Katsuura,JP,35.1333,140.3,42.19,61,97,13.24,overcast clouds
134,Oktyabrskoye,RU,43.0645,44.7417,28.54,100,100,2.24,overcast clouds
135,Half Moon Bay,US,37.4636,-122.4286,62.87,62,0,6.91,mist
136,Llanes,ES,43.4198,-4.7549,55.89,82,87,3.24,overcast clouds
137,Saint-Philippe,RE,-21.3585,55.7679,80.15,93,100,39.48,heavy intensity rain
138,Vero Beach,US,27.6386,-80.3973,82.06,66,0,11.99,clear sky
139,Noumea,NC,-22.2763,166.4572,75.18,82,93,2.98,moderate rain
140,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,74,75,6.71,broken clouds
141,Mariestad,SE,58.7097,13.8237,34.38,97,100,14.18,light snow
142,Palmer,US,42.1584,-72.3287,45.95,98,100,4.61,light rain
143,Vanino,RU,49.0869,140.2543,5.11,72,100,7.38,overcast clouds
144,Kununurra,AU,-15.7667,128.7333,78.78,100,100,3.44,overcast clouds
145,Salekhard,RU,66.53,66.6019,-24.02,100,100,0.83,overcast clouds
146,Chuy,UY,-33.6971,-53.4616,84.54,62,61,13.38,broken clouds
147,Pevek,RU,69.7008,170.3133,-14.42,86,30,1.61,scattered clouds
148,Warri,NG,5.5167,5.75,81.82,65,9,8.16,clear sky
149,Brae,GB,60.3964,-1.353,40.91,69,100,29.44,overcast clouds
150,Graaff-Reinet,ZA,-32.2522,24.5308,67.93,85,4,7.43,clear sky
151,Thinadhoo,MV,0.5333,72.9333,81.7,72,16,4.7,few clouds
152,Bekhtery,UA,46.251,32.2927,32.0,67,100,17.52,overcast clouds
153,Anadyr,RU,64.75,177.4833,12.7,62,100,35.79,overcast clouds
154,Ribeira Grande,PT,38.5167,-28.7,61.2,72,20,12.66,few clouds
155,Cidreira,BR,-30.1811,-50.2056,80.4,75,66,17.56,broken clouds
156,Yei,SS,4.095,30.6779,77.36,35,97,3.2,overcast clouds
157,Viedma,AR,-40.8135,-62.9967,87.91,23,1,13.31,clear sky
158,Vestmannaeyjar,IS,63.4427,-20.2734,25.79,80,0,17.27,clear sky
159,Paamiut,GL,61.994,-49.6678,21.74,93,100,14.14,snow
160,Vostok,RU,46.4856,135.8833,-12.15,99,100,4.05,overcast clouds
161,Port Said,EG,31.2565,32.2841,58.98,55,0,16.11,clear sky
162,Tsabong,BW,-26.0217,22.401,79.34,32,0,10.31,clear sky
163,Pingxiang,CN,27.6167,113.85,38.68,94,100,1.72,overcast clouds
164,Katobu,ID,-4.9408,122.5276,75.74,90,100,2.84,overcast clouds
165,Kavieng,PG,-2.5744,150.7967,80.67,79,100,7.83,light rain
166,Georgetown,MY,5.4112,100.3354,82.33,90,20,1.01,few clouds
167,Xixiang,CN,35.1628,112.865,34.79,65,4,3.56,clear sky
168,Caravelas,BR,-17.7125,-39.2481,83.91,62,88,8.9,overcast clouds
169,Bilibino,RU,68.0546,166.4372,-8.12,63,0,4.61,clear sky
170,Geraldton,AU,-28.7667,114.6,70.21,56,0,8.05,clear sky
171,Vanderhoof,CA,54.0166,-124.0198,19.6,92,100,2.59,overcast clouds
172,Okato,NZ,-39.2,173.8833,68.92,85,42,14.36,scattered clouds
173,Aktau,KZ,43.65,51.2,46.98,62,43,18.37,scattered clouds
174,Rosarito,MX,32.3333,-117.0333,64.76,19,0,1.34,clear sky
175,Tuatapere,NZ,-46.1333,167.6833,51.82,92,100,2.71,light rain
176,Laguna,US,38.421,-121.4238,58.66,59,0,1.01,clear sky
177,Oistins,BB,13.0667,-59.5333,84.29,58,40,17.27,scattered clouds
178,Port-Cartier,CA,50.0334,-66.8654,16.02,71,100,11.72,overcast clouds
179,Mareeba,AU,-17.0,145.4333,74.12,96,100,7.0,light rain
180,Presidente Medici,BR,-11.1753,-61.9014,76.57,88,99,5.5,overcast clouds
181,Bubaque,GW,11.2833,-15.8333,77.9,75,0,14.2,clear sky
182,Muros,ES,42.7762,-9.0603,55.09,89,100,5.64,overcast clouds
183,Sitka,US,57.0531,-135.33,37.29,93,100,6.91,mist
184,Bandundu,CD,-3.3167,17.3667,72.93,92,100,4.14,light rain
185,Ostra Luka,BA,45.0,18.5883,37.36,71,62,4.99,broken clouds
186,Beringovskiy,RU,63.05,179.3167,0.57,78,100,21.32,overcast clouds
187,Tselinnoye,RU,53.0833,85.6667,-3.84,100,99,2.04,overcast clouds
188,Angoram,PG,-4.0625,144.0661,72.07,96,100,1.61,moderate rain
189,Nizwa,OM,22.9333,57.5333,69.08,30,0,6.15,clear sky
190,Namatanai,PG,-3.6667,152.4333,78.64,81,87,9.64,overcast clouds
191,Feni,BD,23.0186,91.41,62.6,61,9,3.29,clear sky
192,Touros,BR,-5.1989,-35.4608,86.9,67,69,14.61,broken clouds
193,Belmonte,BR,-15.8631,-38.8828,86.0,64,10,10.33,clear sky
194,Esmeraldas,BR,-19.7625,-44.3139,79.84,75,86,3.89,moderate rain
195,Hofn,IS,64.2539,-15.2082,30.7,58,100,22.28,overcast clouds
196,Saint George,US,37.1041,-113.5841,43.63,23,0,1.99,clear sky
197,Sibolga,ID,1.7427,98.7792,74.88,88,20,3.67,few clouds
198,Willowmore,ZA,-33.2926,23.4895,64.99,69,9,8.57,clear sky
199,Springfield,US,37.2153,-93.2982,18.16,87,100,8.01,snow
200,Sines,PT,37.9562,-8.8698,56.28,86,100,5.32,overcast clouds
201,Wenling,CN,28.3669,121.36,41.92,94,100,12.01,overcast clouds
202,Son La,VN,21.3167,103.9,47.95,97,23,3.8,few clouds
203,Saskylakh,RU,71.9167,114.0833,-19.77,97,100,1.9,overcast clouds
204,Hambantota,LK,6.1241,81.1185,75.54,100,20,4.61,few clouds
205,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.64,60,78,11.52,broken clouds
206,Bethel,US,41.3712,-73.414,44.17,100,100,2.13,moderate rain
207,Nanakuli,US,21.3906,-158.1547,75.61,65,0,9.04,clear sky
208,Haines Junction,CA,60.7522,-137.5108,-7.65,71,100,0.0,overcast clouds
209,Airai,TL,-8.9266,125.4092,60.89,94,100,2.75,overcast clouds
210,Prado,BR,-17.3411,-39.2208,82.08,71,85,9.71,overcast clouds
211,Cabo San Lucas,MX,22.8909,-109.9124,72.95,58,76,4.68,broken clouds
212,Isangel,VU,-19.55,169.2667,77.11,94,100,7.2,overcast clouds
213,Beisfjord,NO,68.3751,17.5988,19.45,86,24,12.3,few clouds
214,Verkhoyansk,RU,67.5447,133.385,-33.79,100,100,1.77,overcast clouds
215,Dniprovka,UA,47.4295,34.618,30.76,95,100,7.87,overcast clouds
216,Ukiah,US,39.1502,-123.2078,62.37,77,100,0.09,overcast clouds
217,Sinjar,IQ,36.3209,41.8754,48.18,53,97,11.41,overcast clouds
218,Evensk,RU,61.95,159.2333,16.56,41,62,24.61,broken clouds
219,Pontianak,ID,-0.0333,109.3333,76.98,94,75,2.3,mist
220,Lasa,IT,46.6166,10.7002,40.46,82,97,3.15,overcast clouds
221,Semey,KZ,50.4111,80.2275,-2.76,98,100,7.2,overcast clouds
